Initialize dataset with 1148437 characters, 86 unique.
[2019-11-27 00:27] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 1767.84, Accuracy = 0.00, Loss = 4.465
[2019-11-27 00:29] Train Step 6000/1000000, Batch Size = 64, Examples/Sec = 5838.85, Accuracy = 0.59, Loss = 1.329
[2019-11-27 00:29] Train Step 6100/1000000, Batch Size = 64, Examples/Sec = 6857.99, Accuracy = 0.62, Loss = 1.284
[2019-11-27 00:29] Train Step 6200/1000000, Batch Size = 64, Examples/Sec = 4541.21, Accuracy = 0.61, Loss = 1.352
[2019-11-27 00:29] Train Step 6300/1000000, Batch Size = 64, Examples/Sec = 5871.03, Accuracy = 0.64, Loss = 1.206
[2019-11-27 00:29] Train Step 6400/1000000, Batch Size = 64, Examples/Sec = 4603.99, Accuracy = 0.61, Loss = 1.281
[2019-11-27 00:29] Train Step 6500/1000000, Batch Size = 64, Examples/Sec = 6854.84, Accuracy = 0.60, Loss = 1.329
[2019-11-27 00:29] Train Step 6600/1000000, Batch Size = 64, Examples/Sec = 5340.19, Accuracy = 0.59, Loss = 1.340
[2019-11-27 00:29] Train Step 6700/1000000, Batch Size = 64, Examples/Sec = 4990.06, Accuracy = 0.65, Loss = 1.188
[2019-11-27 00:29] Train Step 6800/1000000, Batch Size = 64, Examples/Sec = 7498.41, Accuracy = 0.63, Loss = 1.205
[2019-11-27 00:29] Train Step 6900/1000000, Batch Size = 64, Examples/Sec = 4943.20, Accuracy = 0.62, Loss = 1.268
[2019-11-27 00:29] Train Step 7000/1000000, Batch Size = 64, Examples/Sec = 7413.30, Accuracy = 0.61, Loss = 1.266
[2019-11-27 00:29] Train Step 7100/1000000, Batch Size = 64, Examples/Sec = 4825.55, Accuracy = 0.61, Loss = 1.278
[2019-11-27 00:29] Train Step 7200/1000000, Batch Size = 64, Examples/Sec = 5605.37, Accuracy = 0.61, Loss = 1.271
[2019-11-27 00:29] Train Step 7300/1000000, Batch Size = 64, Examples/Sec = 5851.07, Accuracy = 0.60, Loss = 1.303
[2019-11-27 00:29] Train Step 7400/1000000, Batch Size = 64, Examples/Sec = 5884.81, Accuracy = 0.61, Loss = 1.305
[2019-11-27 00:29] Train Step 7500/1000000, Batch Size = 64, Examples/Sec = 5425.46, Accuracy = 0.60, Loss = 1.286
[2019-11-27 00:29] Train Step 7600/1000000, Batch Size = 64, Examples/Sec = 4826.07, Accuracy = 0.61, Loss = 1.287
[2019-11-27 00:29] Train Step 7700/1000000, Batch Size = 64, Examples/Sec = 4694.49, Accuracy = 0.62, Loss = 1.292
[2019-11-27 00:29] Train Step 7800/1000000, Batch Size = 64, Examples/Sec = 6232.68, Accuracy = 0.58, Loss = 1.371
[2019-11-27 00:29] Train Step 7900/1000000, Batch Size = 64, Examples/Sec = 7030.97, Accuracy = 0.62, Loss = 1.277
[2019-11-27 00:29] Train Step 8000/1000000, Batch Size = 64, Examples/Sec = 5657.11, Accuracy = 0.61, Loss = 1.286
[2019-11-27 00:29] Train Step 8100/1000000, Batch Size = 64, Examples/Sec = 4225.60, Accuracy = 0.59, Loss = 1.304
[2019-11-27 00:29] Train Step 8200/1000000, Batch Size = 64, Examples/Sec = 5537.95, Accuracy = 0.62, Loss = 1.272
[2019-11-27 00:30] Train Step 8300/1000000, Batch Size = 64, Examples/Sec = 7324.90, Accuracy = 0.61, Loss = 1.279
[2019-11-27 00:30] Train Step 8400/1000000, Batch Size = 64, Examples/Sec = 4312.84, Accuracy = 0.60, Loss = 1.265
[2019-11-27 00:30] Train Step 8500/1000000, Batch Size = 64, Examples/Sec = 4551.84, Accuracy = 0.63, Loss = 1.194
[2019-11-27 00:30] Train Step 8600/1000000, Batch Size = 64, Examples/Sec = 7027.47, Accuracy = 0.61, Loss = 1.305
[2019-11-27 00:30] Train Step 8700/1000000, Batch Size = 64, Examples/Sec = 6218.82, Accuracy = 0.60, Loss = 1.328
[2019-11-27 00:30] Train Step 8800/1000000, Batch Size = 64, Examples/Sec = 7586.14, Accuracy = 0.62, Loss = 1.257
[2019-11-27 00:30] Train Step 8900/1000000, Batch Size = 64, Examples/Sec = 5449.14, Accuracy = 0.61, Loss = 1.252
[2019-11-27 00:30] Train Step 9000/1000000, Batch Size = 64, Examples/Sec = 5297.72, Accuracy = 0.62, Loss = 1.215
[2019-11-27 00:30] Train Step 9100/1000000, Batch Size = 64, Examples/Sec = 5000.85, Accuracy = 0.61, Loss = 1.325
[2019-11-27 00:30] Train Step 9200/1000000, Batch Size = 64, Examples/Sec = 5002.71, Accuracy = 0.62, Loss = 1.249
[2019-11-27 00:30] Train Step 9300/1000000, Batch Size = 64, Examples/Sec = 5402.42, Accuracy = 0.61, Loss = 1.254
[2019-11-27 00:30] Train Step 9400/1000000, Batch Size = 64, Examples/Sec = 5645.92, Accuracy = 0.60, Loss = 1.308
[2019-11-27 00:30] Train Step 9500/1000000, Batch Size = 64, Examples/Sec = 5288.64, Accuracy = 0.62, Loss = 1.244
[2019-11-27 00:30] Train Step 9600/1000000, Batch Size = 64, Examples/Sec = 4373.77, Accuracy = 0.64, Loss = 1.211
[2019-11-27 00:30] Train Step 9700/1000000, Batch Size = 64, Examples/Sec = 5033.20, Accuracy = 0.61, Loss = 1.343
[2019-11-27 00:30] Train Step 9800/1000000, Batch Size = 64, Examples/Sec = 5883.00, Accuracy = 0.63, Loss = 1.262
[2019-11-27 00:30] Train Step 9900/1000000, Batch Size = 64, Examples/Sec = 4893.55, Accuracy = 0.64, Loss = 1.223
[2019-11-27 00:30] Train Step 10000/1000000, Batch Size = 64, Examples/Sec = 7417.80, Accuracy = 0.63, Loss = 1.209
[2019-11-27 00:30] Train Step 10100/1000000, Batch Size = 64, Examples/Sec = 4620.15, Accuracy = 0.62, Loss = 1.227
[2019-11-27 00:30] Train Step 10200/1000000, Batch Size = 64, Examples/Sec = 4776.52, Accuracy = 0.62, Loss = 1.229
[2019-11-27 00:30] Train Step 10300/1000000, Batch Size = 64, Examples/Sec = 5844.45, Accuracy = 0.61, Loss = 1.307
[2019-11-27 00:30] Train Step 10400/1000000, Batch Size = 64, Examples/Sec = 6764.15, Accuracy = 0.63, Loss = 1.223
[2019-11-27 00:30] Train Step 10500/1000000, Batch Size = 64, Examples/Sec = 6019.00, Accuracy = 0.63, Loss = 1.227
[2019-11-27 00:30] Train Step 10600/1000000, Batch Size = 64, Examples/Sec = 5696.48, Accuracy = 0.62, Loss = 1.246
[2019-11-27 00:30] Train Step 10700/1000000, Batch Size = 64, Examples/Sec = 4743.43, Accuracy = 0.62, Loss = 1.251
[2019-11-27 00:30] Train Step 10800/1000000, Batch Size = 64, Examples/Sec = 5651.15, Accuracy = 0.61, Loss = 1.290
[2019-11-27 00:30] Train Step 10900/1000000, Batch Size = 64, Examples/Sec = 4192.08, Accuracy = 0.63, Loss = 1.180
[2019-11-27 00:30] Train Step 11000/1000000, Batch Size = 64, Examples/Sec = 4608.41, Accuracy = 0.61, Loss = 1.308
[2019-11-27 00:30] Train Step 11100/1000000, Batch Size = 64, Examples/Sec = 5476.26, Accuracy = 0.62, Loss = 1.267
[2019-11-27 00:30] Train Step 11200/1000000, Batch Size = 64, Examples/Sec = 5898.64, Accuracy = 0.62, Loss = 1.245
[2019-11-27 00:30] Train Step 11300/1000000, Batch Size = 64, Examples/Sec = 5603.61, Accuracy = 0.62, Loss = 1.258
[2019-11-27 00:30] Train Step 11400/1000000, Batch Size = 64, Examples/Sec = 4516.00, Accuracy = 0.60, Loss = 1.337
[2019-11-27 00:31] Train Step 11500/1000000, Batch Size = 64, Examples/Sec = 5364.20, Accuracy = 0.62, Loss = 1.236
[2019-11-27 00:31] Train Step 11600/1000000, Batch Size = 64, Examples/Sec = 6385.69, Accuracy = 0.59, Loss = 1.291
[2019-11-27 00:31] Train Step 11700/1000000, Batch Size = 64, Examples/Sec = 4501.46, Accuracy = 0.63, Loss = 1.230
[2019-11-27 00:31] Train Step 11800/1000000, Batch Size = 64, Examples/Sec = 5462.22, Accuracy = 0.64, Loss = 1.192
[2019-11-27 00:31] Train Step 11900/1000000, Batch Size = 64, Examples/Sec = 5549.74, Accuracy = 0.62, Loss = 1.254
[2019-11-27 00:31] Train Step 12000/1000000, Batch Size = 64, Examples/Sec = 7202.84, Accuracy = 0.61, Loss = 1.226
[2019-11-27 00:31] Train Step 12100/1000000, Batch Size = 64, Examples/Sec = 5590.77, Accuracy = 0.61, Loss = 1.282
[2019-11-27 00:31] Train Step 12200/1000000, Batch Size = 64, Examples/Sec = 4565.00, Accuracy = 0.59, Loss = 1.334
[2019-11-27 00:31] Train Step 12300/1000000, Batch Size = 64, Examples/Sec = 4916.31, Accuracy = 0.61, Loss = 1.300
[2019-11-27 00:31] Train Step 12400/1000000, Batch Size = 64, Examples/Sec = 7221.64, Accuracy = 0.63, Loss = 1.219
[2019-11-27 00:31] Train Step 12500/1000000, Batch Size = 64, Examples/Sec = 6976.70, Accuracy = 0.61, Loss = 1.262
[2019-11-27 00:31] Train Step 12600/1000000, Batch Size = 64, Examples/Sec = 4957.26, Accuracy = 0.60, Loss = 1.299
[2019-11-27 00:31] Train Step 12700/1000000, Batch Size = 64, Examples/Sec = 3945.20, Accuracy = 0.63, Loss = 1.220
[2019-11-27 00:31] Train Step 12800/1000000, Batch Size = 64, Examples/Sec = 5150.14, Accuracy = 0.61, Loss = 1.251
[2019-11-27 00:31] Train Step 12900/1000000, Batch Size = 64, Examples/Sec = 6778.84, Accuracy = 0.62, Loss = 1.210
[2019-11-27 00:31] Train Step 13000/1000000, Batch Size = 64, Examples/Sec = 5437.66, Accuracy = 0.62, Loss = 1.219
[2019-11-27 00:31] Train Step 13100/1000000, Batch Size = 64, Examples/Sec = 5480.40, Accuracy = 0.63, Loss = 1.212
[2019-11-27 00:31] Train Step 13200/1000000, Batch Size = 64, Examples/Sec = 6922.19, Accuracy = 0.61, Loss = 1.242
[2019-11-27 00:31] Train Step 13300/1000000, Batch Size = 64, Examples/Sec = 4531.86, Accuracy = 0.63, Loss = 1.225
[2019-11-27 00:31] Train Step 13400/1000000, Batch Size = 64, Examples/Sec = 4480.65, Accuracy = 0.61, Loss = 1.290
[2019-11-27 00:31] Train Step 13500/1000000, Batch Size = 64, Examples/Sec = 4647.11, Accuracy = 0.61, Loss = 1.245
[2019-11-27 00:31] Train Step 13600/1000000, Batch Size = 64, Examples/Sec = 4452.63, Accuracy = 0.60, Loss = 1.282
[2019-11-27 00:31] Train Step 13700/1000000, Batch Size = 64, Examples/Sec = 6483.32, Accuracy = 0.64, Loss = 1.195
[2019-11-27 00:31] Train Step 13800/1000000, Batch Size = 64, Examples/Sec = 7253.05, Accuracy = 0.63, Loss = 1.216
[2019-11-27 00:31] Train Step 13900/1000000, Batch Size = 64, Examples/Sec = 7169.75, Accuracy = 0.62, Loss = 1.267
[2019-11-27 00:31] Train Step 14000/1000000, Batch Size = 64, Examples/Sec = 7118.60, Accuracy = 0.63, Loss = 1.201
[2019-11-27 00:31] Train Step 14100/1000000, Batch Size = 64, Examples/Sec = 7320.10, Accuracy = 0.60, Loss = 1.282
[2019-11-27 00:31] Train Step 14200/1000000, Batch Size = 64, Examples/Sec = 7260.90, Accuracy = 0.63, Loss = 1.235
[2019-11-27 00:31] Train Step 14300/1000000, Batch Size = 64, Examples/Sec = 6894.27, Accuracy = 0.64, Loss = 1.208
[2019-11-27 00:31] Train Step 14400/1000000, Batch Size = 64, Examples/Sec = 6825.04, Accuracy = 0.61, Loss = 1.241
[2019-11-27 00:31] Train Step 14500/1000000, Batch Size = 64, Examples/Sec = 4475.71, Accuracy = 0.63, Loss = 1.211
[2019-11-27 00:31] Train Step 14600/1000000, Batch Size = 64, Examples/Sec = 5611.93, Accuracy = 0.60, Loss = 1.313
[2019-11-27 00:31] Train Step 14700/1000000, Batch Size = 64, Examples/Sec = 5347.85, Accuracy = 0.62, Loss = 1.265
[2019-11-27 00:31] Train Step 14800/1000000, Batch Size = 64, Examples/Sec = 5555.83, Accuracy = 0.64, Loss = 1.171
[2019-11-27 00:32] Train Step 14900/1000000, Batch Size = 64, Examples/Sec = 5205.97, Accuracy = 0.61, Loss = 1.260
[2019-11-27 00:32] Train Step 15000/1000000, Batch Size = 64, Examples/Sec = 5303.90, Accuracy = 0.62, Loss = 1.212
[2019-11-27 00:32] Train Step 15100/1000000, Batch Size = 64, Examples/Sec = 5236.13, Accuracy = 0.62, Loss = 1.265
[2019-11-27 00:32] Train Step 15200/1000000, Batch Size = 64, Examples/Sec = 4946.48, Accuracy = 0.63, Loss = 1.226
[2019-11-27 00:32] Train Step 15300/1000000, Batch Size = 64, Examples/Sec = 5150.53, Accuracy = 0.63, Loss = 1.222
[2019-11-27 00:32] Train Step 15400/1000000, Batch Size = 64, Examples/Sec = 5266.43, Accuracy = 0.63, Loss = 1.211
[2019-11-27 00:32] Train Step 15500/1000000, Batch Size = 64, Examples/Sec = 5507.39, Accuracy = 0.62, Loss = 1.217
[2019-11-27 00:32] Train Step 15600/1000000, Batch Size = 64, Examples/Sec = 4918.02, Accuracy = 0.63, Loss = 1.209
[2019-11-27 00:32] Train Step 15700/1000000, Batch Size = 64, Examples/Sec = 4934.84, Accuracy = 0.62, Loss = 1.233
[2019-11-27 00:32] Train Step 15800/1000000, Batch Size = 64, Examples/Sec = 5397.64, Accuracy = 0.64, Loss = 1.202
[2019-11-27 00:32] Train Step 15900/1000000, Batch Size = 64, Examples/Sec = 5402.09, Accuracy = 0.63, Loss = 1.187
[2019-11-27 00:32] Train Step 16000/1000000, Batch Size = 64, Examples/Sec = 5022.46, Accuracy = 0.62, Loss = 1.225
[2019-11-27 00:32] Train Step 16100/1000000, Batch Size = 64, Examples/Sec = 5235.21, Accuracy = 0.62, Loss = 1.237
[2019-11-27 00:32] Train Step 16200/1000000, Batch Size = 64, Examples/Sec = 4929.94, Accuracy = 0.63, Loss = 1.250
[2019-11-27 00:32] Train Step 16300/1000000, Batch Size = 64, Examples/Sec = 5213.15, Accuracy = 0.65, Loss = 1.146
[2019-11-27 00:32] Train Step 16400/1000000, Batch Size = 64, Examples/Sec = 5298.35, Accuracy = 0.62, Loss = 1.255
[2019-11-27 00:32] Train Step 16500/1000000, Batch Size = 64, Examples/Sec = 5198.21, Accuracy = 0.64, Loss = 1.193
[2019-11-27 00:32] Train Step 16600/1000000, Batch Size = 64, Examples/Sec = 4916.76, Accuracy = 0.63, Loss = 1.194
[2019-11-27 00:32] Train Step 16700/1000000, Batch Size = 64, Examples/Sec = 4916.22, Accuracy = 0.63, Loss = 1.172
[2019-11-27 00:32] Train Step 16800/1000000, Batch Size = 64, Examples/Sec = 4872.41, Accuracy = 0.65, Loss = 1.155
[2019-11-27 00:32] Train Step 16900/1000000, Batch Size = 64, Examples/Sec = 5108.87, Accuracy = 0.62, Loss = 1.191
[2019-11-27 00:32] Train Step 17000/1000000, Batch Size = 64, Examples/Sec = 5320.93, Accuracy = 0.63, Loss = 1.242
[2019-11-27 00:32] Train Step 17100/1000000, Batch Size = 64, Examples/Sec = 5500.61, Accuracy = 0.60, Loss = 1.289
[2019-11-27 00:32] Train Step 17200/1000000, Batch Size = 64, Examples/Sec = 5512.47, Accuracy = 0.63, Loss = 1.248
[2019-11-27 00:32] Train Step 17300/1000000, Batch Size = 64, Examples/Sec = 4979.79, Accuracy = 0.62, Loss = 1.229
[2019-11-27 00:32] Train Step 17400/1000000, Batch Size = 64, Examples/Sec = 7294.64, Accuracy = 0.64, Loss = 1.181
[2019-11-27 00:32] Train Step 17500/1000000, Batch Size = 64, Examples/Sec = 4489.94, Accuracy = 0.60, Loss = 1.240
[2019-11-27 00:32] Train Step 17600/1000000, Batch Size = 64, Examples/Sec = 7228.83, Accuracy = 0.63, Loss = 1.229
[2019-11-27 00:32] Train Step 17700/1000000, Batch Size = 64, Examples/Sec = 5635.85, Accuracy = 0.63, Loss = 1.236
[2019-11-27 00:32] Train Step 17800/1000000, Batch Size = 64, Examples/Sec = 6536.84, Accuracy = 0.65, Loss = 1.156
[2019-11-27 00:32] Train Step 17900/1000000, Batch Size = 64, Examples/Sec = 5876.56, Accuracy = 0.63, Loss = 1.216
[2019-11-27 00:32] Train Step 18000/1000000, Batch Size = 64, Examples/Sec = 7211.16, Accuracy = 0.61, Loss = 1.227
[2019-11-27 00:33] Train Step 18100/1000000, Batch Size = 64, Examples/Sec = 7162.67, Accuracy = 0.63, Loss = 1.232
[2019-11-27 00:33] Train Step 18200/1000000, Batch Size = 64, Examples/Sec = 7038.53, Accuracy = 0.64, Loss = 1.161
[2019-11-27 00:33] Train Step 18300/1000000, Batch Size = 64, Examples/Sec = 7288.70, Accuracy = 0.63, Loss = 1.232
[2019-11-27 00:33] Train Step 18400/1000000, Batch Size = 64, Examples/Sec = 4737.90, Accuracy = 0.60, Loss = 1.290
[2019-11-27 00:33] Train Step 18500/1000000, Batch Size = 64, Examples/Sec = 4580.18, Accuracy = 0.62, Loss = 1.205
[2019-11-27 00:33] Train Step 18600/1000000, Batch Size = 64, Examples/Sec = 5415.72, Accuracy = 0.64, Loss = 1.195
[2019-11-27 00:33] Train Step 18700/1000000, Batch Size = 64, Examples/Sec = 7446.41, Accuracy = 0.63, Loss = 1.191
[2019-11-27 00:33] Train Step 18800/1000000, Batch Size = 64, Examples/Sec = 6027.65, Accuracy = 0.62, Loss = 1.213
[2019-11-27 00:33] Train Step 18900/1000000, Batch Size = 64, Examples/Sec = 5118.91, Accuracy = 0.60, Loss = 1.295
[2019-11-27 00:33] Train Step 19000/1000000, Batch Size = 64, Examples/Sec = 4177.07, Accuracy = 0.63, Loss = 1.233
[2019-11-27 00:33] Train Step 19100/1000000, Batch Size = 64, Examples/Sec = 3933.70, Accuracy = 0.63, Loss = 1.205
[2019-11-27 00:33] Train Step 19200/1000000, Batch Size = 64, Examples/Sec = 6196.86, Accuracy = 0.60, Loss = 1.270
[2019-11-27 00:33] Train Step 19300/1000000, Batch Size = 64, Examples/Sec = 5941.60, Accuracy = 0.65, Loss = 1.144
[2019-11-27 00:33] Train Step 19400/1000000, Batch Size = 64, Examples/Sec = 5469.68, Accuracy = 0.62, Loss = 1.240
[2019-11-27 00:33] Train Step 19500/1000000, Batch Size = 64, Examples/Sec = 5863.08, Accuracy = 0.63, Loss = 1.231
[2019-11-27 00:33] Train Step 19600/1000000, Batch Size = 64, Examples/Sec = 5244.01, Accuracy = 0.63, Loss = 1.203
[2019-11-27 00:33] Train Step 19700/1000000, Batch Size = 64, Examples/Sec = 5597.42, Accuracy = 0.63, Loss = 1.208
[2019-11-27 00:33] Train Step 19800/1000000, Batch Size = 64, Examples/Sec = 5475.48, Accuracy = 0.62, Loss = 1.201
[2019-11-27 00:33] Train Step 19900/1000000, Batch Size = 64, Examples/Sec = 5566.31, Accuracy = 0.62, Loss = 1.272
[2019-11-27 00:33] Train Step 20000/1000000, Batch Size = 64, Examples/Sec = 5174.06, Accuracy = 0.64, Loss = 1.146
[2019-11-27 00:33] Train Step 20100/1000000, Batch Size = 64, Examples/Sec = 4930.67, Accuracy = 0.64, Loss = 1.195
[2019-11-27 00:33] Train Step 20200/1000000, Batch Size = 64, Examples/Sec = 5054.33, Accuracy = 0.64, Loss = 1.179
[2019-11-27 00:33] Train Step 20300/1000000, Batch Size = 64, Examples/Sec = 4866.66, Accuracy = 0.62, Loss = 1.227
[2019-11-27 00:33] Train Step 20400/1000000, Batch Size = 64, Examples/Sec = 5467.45, Accuracy = 0.61, Loss = 1.251
[2019-11-27 00:33] Train Step 20500/1000000, Batch Size = 64, Examples/Sec = 5573.59, Accuracy = 0.62, Loss = 1.232
[2019-11-27 00:33] Train Step 20600/1000000, Batch Size = 64, Examples/Sec = 3881.03, Accuracy = 0.63, Loss = 1.185
